LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
OIUWEY, Chilli pepper Hospital,50+,Man or male,Neither good nor poor,,INFORMATION BETWEEN SHIFTS WITH NURSES
EWRTY, Yambean Hospital,50+,Woman or female,Very good,CONVIENIENCE OF PARKING. CLOSE TO HOME. GREAT TEAM OF DOCTORS. EXTREMELY HAPPY WITH MY SURGEON  XXXX XXXX,VERY HAPPY AS IT IS.
OPIUSD, Blueberries Hospital,50+,Man or male,Good,"VERY GOOD SURGERY TECHNIQUES: ALMOST INVISIBLE SCAR, NO POST OPERATIVE INFECTION, VERY LITTLE PAIN AFTER OPERATION AND NONE DURING THE OPERATION.","PERHAPS, THE QUANTITY AND QUALITY (IN THAT ORDER) OF FOOD. YOU SHOULD CONSIDER THAT A XXXX KG PERSON LIKE ME WOULD NEED A BIGGER PORTION OF FOOD THAN A XXXX KG MALE/FEMALE PERSON, FOR EXAMPLE."
OIUWEY, Pear Hospital,50+,Man or male,Very good,PROMPT,
KHZJDF, Kumquat Hospital,50+,Woman or female,Very good,"I WAS GRATEFUL AND HAPPY WITH ALL CARE. BUT WAS SURPRISED AND DELIGHTED WITH HOSPITAL IN THE HOME, A PROBLEM THAT OCCURED WITH BLOOD LEVELS, WAS IMMEDIATELY CONVEYED TO ME, AND HENCE A HAPPY ENDING",I AM SURE STAFF WORK AT THE BEST OF THEIR ABILITY TO ATTEND PATIENTS IN CASE
QERYUI, Tangerine Hospital,50+,Man or male,Very good,IT MADE THE SURGERY AND STAY A LOT MORE COMFORTABLE THAN I THOUGHT IT WOULD BE,A LITTLE QUICKER DISCHARGE IF OK TO LEAVE HOSPITAL ON DAY OF LEAVING
OIUWEY, Persimmon Hospital,50+,Woman or female,Very good,IT WAS ALL REALLY GOOD. I WAS CONCERNED ABOUT IT BEING SUCH A SMALL HOSPITAL BUT I WAS PLEASANTLY SURPRISED.,"WHEN HANDING OVER SHIFT CHANGE OF THE NURSING STAFF, WHAT IS SAID PUBLICLY NEEDS TO BE FACTUAL NOT AN OPINION (OR SAID PRIVATELY, NOT IN FRONT OF THE PATIENT)."
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,MEETING SO MANY NICE STAFF,MORE STAFF NEEDED AS THEY ARE SO BUSY
MZNBSD, Sweet potato Hospital,50+,Woman or female,Very good,THIS WAS THE XXXX TIME IN XXXX WEEKS I HAD BEEN ADMITTED WITH XXXX. THE DR. IN CHARGE SENT ME TO XXXX HOSPITAL BY AMBULANCE FOR FURTHER TREATMENT & CT SCAN,I THINK XXXX HOSPITAL DOES A GREAT JOB FOR THE LOCAL COMMUNITY. I HOPE IN THE FUTURE IT WILL END UP MUCH BIGGER & PROVIDE A GREATER RANGE OF AVAILABLE TREATMENT
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,,THEY NEED MORE DOCTORS AND NURSES. I ARRIVED AT HOSPITAL BY AMBULANCE ABOUT XXXX AND WASN'T SEEN BY DOCTOR UNTIL XXXX. I HAD STITCHES IN HAND AND ADMITTED TO STAY XXXX ABOUT XXXX.
RTUITO, Taro Hospital,50+,Man or male,Very good,THE NURSING STAFF AND DOCTORS WERE AMAZING.,I WAS DISCHARGED FROM XXXX TO REHABILITATION AT XXXX HOSPITAL BEFORE I WAS WELL ENOUGH.  ONCE I ARRIVED AT REHAB IT WAS DISCOVERED HOW ILL I WAS AND A BLOOD TRANSFUSION WAS ARRANGED.  THIS SHOULD HAVE BEEN DONE BEFORE LEAVING XXXX AND XXXX HOSPITAL FELT I MAY HAVE TO GO BACK TO XXXX FOR MORE SPECIFIC MEDICAL CARE.  I WAS IN NO CONDITION TO BE SENT FROM XXXX TO REHAB .. I HAD FEELINGS THAT I WAS GOING TO DIE BECAUSE OF IT.
BNAVSE, Melon Hospital,50+,Woman or female,Very good,"I WAS TREATED WITH RESPECT. I WAS INFORMED OF MY TESTS REQUIRED, ANGIOGRAM & MRI AND GIVEN THE RESULTS IN A TIMELY MANNER. I NEVER MINDED SHARING MY ROOM WITH A MALE/FEMALE. HE/SHE WAS MOST FRIENDLY AND WE ENJOYED EACH OTHER'S COMPANY",NOT APPLICABLE AS IMPROVING MY CARE WAS NOT REQUIRED AT THIS HOSPITAL AS I WAS MOST PLEASED WITH THE CARE THAT I RECEIVED
ARTBQW, Currant Hospital,18-49,Woman or female,Good,SURGICAL CARE WAS FANTASTIC. THEY WERE CONFIDENT AND REASSURING. NURSING STAFF WERE VERY THOROUGH AND APPROACHABLE,"FOOD-POOR QUALITY & CHOICE FOR VEGETARIANS & KIDNEY PATIENTS. DOCTORS-NOT TALKING TO THE PATIENT, RATHER ABOUT THE PATIENT TO XXXX MEDICAL TEAM. CLEANING-VERY VERY POOR"
MZNBSD, Grapefruit Hospital,18-49,Woman or female,Very good,IT HELPED ME WITH MY DIABETES.,
ARTBQW, Currant Hospital,50+,Man or male,Very good,I WAS TREATED GOOD AND LOOKED AFTER THE NURSES ARE FRIENDLY AND CONSIDERABT,LONG WAITING TIME TO SEE THE DOCTER
OPIUSD, Feijoa Hospital,50+,Woman or female,Very good,THE RESPECTFUL WAY I WAS TREATED,I NEEDED MEDICATION FOR VOMITING DUE TO ANAESTHETIC WHICH WAS OVERLOOKED
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Very good,VERY HAPPY WITH THE WHOLE STAY AND HELP I RECEIVED .,NOTHING VERY WELL RAN FROM START TO END.
QERYUI, Daikon Hospital,50+,Man or male,Very good,HEALTH AND A RESTORATION OF HEALTH SERVICES,IT WAS A VERY BUSY TIME FOR THE HOSPITAL
OPIUSD, Eggplant Hospital,18-49,Woman or female,Very good,"NURSES WERE SO ACCOMMODATING , NOTHING WAS TO MUCH",
QWRET, Beetroot Hospital,50+,Man or male,Very good,THE SERVICES WERE AMAZING AND THE FOOD WAS PRETTY GOOD,NOTHING
QERYUI, Durian Hospital,50+,Man or male,Very good,THE GENERAL CARE WAS GOOD AND A POSITIVE EXPERIENCE,NOTHING AS FAR AS I'M CONCERNED.
MZNBSD, Gooseberry Hospital,50+,Man or male,Very good,THE BEST PART OF THE CARE WAS THE KNOWLEDGE THAT THERE WAS SUCH A LARGE VARIETY OF MACHINES AVAILABLE FOR ALL THEIS STAFF TO USE IF THE SITUATION NEEDED THESE ITEMS. VERY COMFORTING TO KNOW WHAT IS AVAILABLE WHEN NECESSARY,THE FOOD DEFINITELY NEEDS IMPROVING
EWRTY, Kumquat Hospital,50+,Man or male,Good,DOCTORS AND NURSES WERE VERY POLITE AND CARED ME IN THE BEST POSSIBLE MANNER. LOOKED AFTER MY HEALTH AND CARE VERY WELL,POLITENESS. EXPLAINED EVERY PROCESS
VASRTY, Cantaloupe Hospital,50+,Man or male,Very good,"FOOD. AS I WAS UNCONSCIOUS AT ENTRY TO A & E, I CANNOT COMMENT, HOWEVER, MY SON/DAUGHTER WAS THERE & IS OF THE OPTION THE CARE WAS THOROUGH & CARING - V. GOOD. THANK YOU.",MORE TIME TO GET INFORMATION FROM SPECIALISTS AND SATISFYING THE NEED FOR GREATER DETAIL SO YOU DO NOT HAVE TO SEE THEM AS A PRIVATE PATIENT
QWRET, Olive Hospital,50+,Woman or female,Neither good nor poor,THE SECOND TIME THEY BROUGHT ME IN BY AMBULANCE ABOUT XXXX HOURS LATER IT WAS THE MIDDLE OF THE NIGHT AND THE DOCTORS AND NURSES SPENT A LOT OF TIME STABILISING ME AND CARING FOR ME.  IT MADE SUCH A DIFFERENCE TO HOW I AND MY SON/DAUGHTER FELT. THEN WHEN A BED BECAME AVAILABLE IN ICU THEY TOOK ME THERE AND CARED FOR ME PROPERLY UNTIL I WAS OUT OF DANGER AND I HAD IMPROVED ENOUGH TO BE TRANSFERRED TO A GENERAL WARD ABOUT XXXX DAYS LATER.,"I WENT TO HOSPITAL BY AMBULANCE ON XXXX AFTERNOON WITH PNEUMONIA AND THEY SENT ME HOME WITHOUT TREATMENT ABOUT XXXX HOURS LATER DESPITE MY AGE (XXXX) AND MY XXXX. AT XXXX THE NEXT MORNING I HAD TO PRESS MY MEDICAL ALARM FOR MY SON/DAUGHTER TO COME AND HELP ME AS I WAS SO SICK I THOUGHT I WAS DYING AND HE/SHE RANG THE AMBULANCE STRAIGHT AWAY AS MY PNEUMONIA WAS MUCH WORSE AND THERE WAS LUNG TISSUE STAINING ON MY PILLOW AND PYJAMAS. WHEN I GOT TO THE HOSPITAL THE SECOND TIME I WAS SO SICK THAT THE DOCTORS TALKED TO MY SON/DAUGHTER ABOUT END OF LIFE CARE IF MY SITUATION DETERIORATED FURTHER. I SPENT ABOUT XXXX DAYS IN HOSPITAL, WITH THE FIRSTXXXX IN ICU AND IT TOOK A LONG TIME AFTER I FINALLY GOT HOME TO REGAIN THE LEVEL OF HEALTH AND MOBILITY THAT I HAD BEFORE THE PNEUMONIA. IF THEY HADN'T SENT ME HOME THE FIRST TIME AND HAD STARTED TREATMENT WITH INTRAVENOUS ANTIBIOTICS THEN I MIGHT NOT HAVE GOT AS SICK AND REQUIRED AS LONG IN HOSPITAL."
OIUWEY, Pear Hospital,50+,Woman or female,Very good,HAVING A WONDERFUL SURGEON AND THE VIEW OUT THE WINDOW OF MY ROOM,AS I HAVE SEVERAL FOOD ALLERGIES INCLUDING COELIAC DISEASE I WOULD SAY THE FOOD
CVBHMI, Carrot Hospital,50+,Woman or female,Poor,NOTHING,THE STAFF NEED MORE TRAINING ON XXXX XXXX SYNDROME. AND NEED TO BE MORE QUICK AT FINDING ANSWERS AND NOT RULE OUT OBVIOUS SINGS AND SYMPTOMS OF THINGS.
ARTBQW, Jackfruit Hospital,18-49,Man or male,Good,THE NURSES,FOLLOW UP INFORMATION  SIDE EFFECTS OF PRESCRIBED MEDICATION
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Very good,WAS ONLY IN OVER NIGHT. WAS HAPPY WITH MY CARE,WAS HAPPY WITH MY CARE
ARTBQW, Burdock Hospital,50+,Man or male,Very good,HOW FRIENDLY ALL THE STAFF WERE.,
RTUITO, Serrano Hospital,50+,Woman or female,Good,,UNHEALTHY SITUATION. FOOD-BREAKFAST-BREAD SERVED IN PLASTIC BAGS WHEN REMOVED ONLY THE BAG OR TRAY TO SPREAD CONDIMENTS. ONE DOES NOT KNOW WHOM HAS HANDLE PLASTIC BAG AND TRAYS WHIPPED WITH CLOTHES THAT HAVE WIPED OTHER TRAYS - ASKING FOR HEALTH ISSUES?? NOT ACCEPTABLE A PAPER PLATE - BETTER THAN NOTHING
CVBHMI, Carrot Hospital,18-49,Woman or female,Very good,"I WAS VERY OVERWHELMED WHEN ENTERING SUCH A BIG HOSPITAL BUT FROM THE TIME I WALKED IN, I WAS HELPED ALL THE WAY UP TO THE WARD","WITH THE AMOUNT OF DRUGS, JUST NEED A CHEAT SHEET TO HELP WITH WHEN, TO TAKE THE MEDICATION"
KHZJDF, Kiwi Hospital,18-49,Man or male,Very good,ALL THE CARE WAS GOOD. I AM LUCKY TO LIVE IN A COUNTRY WHERE TREATMENT IS READILY AVAILABLE. NURSES DO A WONDERFUL JOB. IN SAYING THAT ALL HEALTH CARE WORKERS DO A WONDERFUL JOB,"I HAVE HAD NOTHING BUT GREAT EXPERIENCES WHILE BEING TREATED. AUSSIE, AUSSIE, AUSSIE!!"
RTUITO, Serrano Hospital,50+,Man or male,Good,ALL STAFF FRIENDLY,WAITING TIMES IN ER.
OPIUSD, Blueberries Hospital,50+,Woman or female,Neither good nor poor,,"WAS VERY DISAPPOINTED WITH THE XXXX XXXX NURSE, THE WAY HE/SHE SPOKE WITH MY SON/DAUGHTER."
VASRTY, Jalapeno Hospital,50+,Woman or female,Good,SMILING FACES - STAFF CONNECTING WITH PATIENT - LISTENING & TALKING IN UNHURRIED WAY TO PATIENT. PHYSIOTHERAPY.,EATABLE NUTRITIOUS FOOD.
KHZJDF, Kiwi Hospital,50+,Man or male,Good,RECEIVED OPERATION AFTER THE FOURTH NIL BY MONTH. THREE OPERATING-THEATRE CANCELLATIONS.,
KHZJDF, Yam Hospital,50+,Woman or female,Very good,OVERALL CARE WAS GOOD,THE FOOD WAS NOT VERY GOOD. POSSIBLY DUE TO BEING A DIABETIC. DEFINITELY NEEDS IMPROVING
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,"MY EXPERIENCE FROM THE TIME I ARRIVED WAS VERY GOOD. I WAS UPDATED REGULARLY WITH RESULTS, ONGOING TREATMENT MEDICAL STAFF (IE DRS & NURSING STAFF) WERE GREAT!",NOTHING! WAS TREATED WELL. HAVE WORKED IN PUBLIC HOSPITAL FOR XXXX YEARS
CVBHMI, Dragonfruit Hospital,50+,Man or male,Good,GOING HOME,I AM NOT QUALIFED TO COMMENT
KHZJDF, Jicama Hospital,50+,Man or male,Good,ON LEAVING.,IMPROVE TASTE IN FOOD.
RTUITO, Peach Hospital,50+,Man or male,Very good,REFER TO QUESTIONNAIRE,REFER TO QUESTIONNAIRE
KHZJDF, Strawberry Hospital,50+,Man or male,Very good,VERY GOOD.,
ARTBQW, Zucchini Hospital,18-49,Woman or female,Very good,"I WAS VERY COMFORTABLE FOR THE ENTIRE WEEK THAT I WAS ADMITTED IN THE HOSPITAL. I WAS WELL TAKEN CARE OF AND NURSES WERE VERY POLITE. THEY'RE VERY CARING MOST ESPECIALLY TO MY XXXX ROOMMATES.  THAT YOU VERY MUCH, I AM VERY GRATEFUL AND PLEASED!",NONE
MZNBSD, Blackberries Hospital,50+,Woman or female,Very good,"I WAS CONFIDENT THAT I WAS RECEIVING THE CARE I NEEDED, AND THAT THEY WERE TAKING MY ILLNESS SERIOUSLY.","COMMUNICATION, E.G. THE KITCHEN STAFF HAD NOT BEEN TOLD OF MY FOOD ALLERGIES."
OIUWEY, Pear Hospital,50+,Woman or female,Very good,"QUICK TO ACCESS ,EG X-RAYS PAIN CONTROL DIAGNOSIS.  CLEAN ROOMS WITH PRIVACY",
ARTBQW, Currant Hospital,50+,Man or male,Very good,TREATMENT & CARE WERE EXCELLENT,LONG WAITING TIME.
ARTBQW, Currant Hospital,50+,Woman or female,Very good,,ONLY MALE/FEMALE IN WARD. WITH 3 XXXX TALKATIVE MALES/FEMALES
QESRRT, Jicama Hospital,50+,Man or male,Very good,"I FELT THAT I WAS IMPORTANT TO THE STAFF THAT LOOKED AFTER ME. IT WAS PERSONALISED AS THE HOSPITAL ITSELF WAS OF SUCH A SIZE THAT PATIENTS WERE NOT NUMBERS, AS MIGHT BE THE CASE IN LARGER FACILITIES?",NOTHING. JUST KEEP DOING WHAT HOSPITALS AND MEDICAL STAFF DO BEST.
CVBHMI, Carrot Hospital,50+,Man or male,Very good,EXTREMELY HAPPY WITH MY TREATMENT.,NOTHING I CAN THINK OF.
CVBHMI, Dragonfruit Hospital,50+,Man or male,Very good,MY SURGERY WITH XXXX XXXX HOSPITAL WAS A VERY GOOD EXPERIENCE ALL THE STAFF AND ALL THE NURSES AND DOCTORS WAS SO GOOD TO YOU AND FRIENDLY ALL THE TIME WHY I WAS IN THE HOSPITAL AND YES. THEY ANSWER ALL MY QUESTIONS THAT I ASKED THEN I DO NOT HAVE A BAD WORD ABOUT THE HOSPITAL,ALL THE CARE YOU GOT FROM THE NURSES AND THE DOCTORS AND THE STAFF WAS SO NICE. THANK YOU SO MUCH FROM XXXX XXXX.
BNAVSE, Plum Hospital,50+,Woman or female,Very good,"DUE TO MY LACK OF ENGLISH, APPRECIATED THAT MY SON/DAUGHTER WAS ABLE TO STAY WITH ME.",NA
KHZJDF, Strawberry Hospital,50+,Man or male,Very poor,WHILE IN EMERGENCY DR XXXX - SEND HE/SHE CHECKED BLOOD WAS GOING TO SEND ME HOME. A MALE/FEMALE NURSE (XXXX I THINK) CHECKED MY BLOOD PRESSURE BECAUSE HE/SHE THOUGHT I LOOKED LIKE I WAS GOING TO PASS OUT. ANOTHER DOCTOR DECIDED I SHOULD BE KEPT IN. THERE WASA NO ROOM IN WARDS. XXXX ARRANGED A BED TO BE SENT DOWN SO I WOULD BE MORE COMFORTABLE & HE/SHE PUT ME IN A WARM PLACE & ENSURED I HAD BREAKFAST ARRANGED FOR ME.,TOTAL CRAP EXPERIENCE. COMMUNICATION. NOBODY TOLD ME I HAD PNEUMONIA & THE DR WHO WAS DISCHARGING ME DID NOT KNOW I WAS ON ANTI-BRIOTICS. HE/SHE THEN GOT A XXXX DR TO DO A BLOOD TEST BEFORE DISCHARGE & ARRANGED APPROPRIATE MEDICINE FOR DISCHARGE. WHOEVER IS IN CHARGE OF THE WARD HAS NO IDEA. NOISY NURSES NOT TRAINED. EVEN THOUGH I HAD PNEUMONIA I WAS PLACED NEAR WINDOW IN WARD. IT WAS -3 OUTSIDE. WOKE UP SHAKING & IT TOOK XXXX OF THEM TO PUT 5 HEATED BLANKETS ON ME. RING ME FOR MORE INFO XXXX.
QERYUI, Durian Hospital,50+,Woman or female,Very good,THE CARE AND COMPASSION,DEMENTIA PATIENTS SHOULD BE IN A MORE SECURE ENVIRONMENT. I HAD AN XXXX GENTLEMAN/LADY IN MY ROOM WHO KEPT TRYING TO GET OUT OF BED AND BECAUSE OF MY SITUATION ( HIP REPLACEMENT) I FELT HELPLESS AS I COULD NOT BE OF ANY ASSISTANCE TO HIM/HER. THE NURSING STAFF WERE VERY GOOD AND CAME IN EVERY TIME I PUSHED MY BUTTON FOR ASSISTANCE FOR THIS GENTLEMAN/LADY. I DON'T THINK IT SHOULD OF BEEN UP TO ME TO KEEP MY EYE ON THIS GENTLEMAN/LADY ESPECIALLY WHEN I COULDN'T PHYSICALLY HELP HIM/HER.
VASRTY, Fig Hospital,50+,Woman or female,Very good,"THE DOCTORS AND NURSES WERE AMAZING, AND CARE WAS OUTSTANDING",
ARTBQW, Cassava Hospital,50+,Man or male,Very good,"THE EXCEPTIONAL CARE FROM NURSES, DOCTORS AND REHAB SPECIALISTS.",NEED MORE CONTACT FROM THE BEGINNING WITH SOCIAL WORKERS.
LAUJSH, Grapes Hospital,50+,Woman or female,Very good,"THE BEST PART I RECEIVED WHILE IN THIS HOSPITAL WAS DOCTOR'S ATTENTION IN THE EMERGENCY ROOM. (I NOT SURE IF THE NAME WAS XXXX). HE/SHE WAS EXCELLENT, AND THE NURSES TOO. THANK YOU",FOR ME EVERYTHING WAS OK
MZNBSD, Gooseberry Hospital,18-49,Woman or female,Good,ICU STAFF DIDNT' HESITATE TO DO WHAT NEEDED TO BE DONE. I WAS VERY SICK AND THEY MADE ME WELL.,DUE TO COVID ISSUES THEY NEEDED TO KEEP ME QUARANTINED BECAUSE THEY COULD NOT IDENTIFY MY INFECTION CAUSE. THERE WAS NO PRIVATE BATHROOM FACILITIES AND I WAS NOT PERMITTED TO WANDER OUTSIDE OF MY 'CURTAIN'S OR USE THE SHARED BATHROOMS WHEN I NEEDED.
LAUJSH, Grapes Hospital,50+,Woman or female,Neither good nor poor,THE COMPANY OF THE OTHER PATIENTS,FOOD.
VASRTY, Cantaloupe Hospital,18-49,Man or male,Very good,"HOSPITAL WAS VERY CLEAN AND ORGANISED. ALL DOCTORS, NURSES AND ALL STAFF WERE VERY KIND AND INFORMATIVE. WHILE I STAYED IN HOSPITAL, IT WAS VERY COMFORTABLE.",
VASRTY, Okra Hospital,50+,Woman or female,Good,QUICK,NEED TO BUILD A NEW HOSPITAL . OUT OF DATE
QERYUI, Durian Hospital,50+,Woman or female,Good,I WAS ONLY IN ED MOST OF THE NIGHT THEN A FEW HOURS IN SHORT STAY WARD. NOT ENOUGH TIME TO REALLY GIVE A HONEST ANSWER. XXXX DOCTOR I HAD WAS GREAT.,
MZNBSD, Grapefruit Hospital,50+,Woman or female,Good,NOT THE FOOD.,FOOD.
RTUITO, Taro Hospital,18-49,Woman or female,Good,I WAS TAKEN SERIOUSLY ABOUT HOW MUCH PAIN I WAS IN EVEN THOUGH THEY COULDN'T FIND OUT WHAT WAS WRONG,TIME WAITING TO BE SEEN ESPECIALLY SINCE I WAS PREGNANT AND IN QUITE A LOT OF PAIN AT THE TIME
KHZJDF, Chicory Hospital,50+,Man or male,Neither good nor poor,"THE PERSON THIS SURVEY IS ABOUT, DIED ON XXXX XXXX. I , HIS/HER HUSBAND/WIFE, ANSWERED QUESTIONS ON HIS/HER A BEHALF TO THE BEST OF MY ABILITY, FROM WHAT I CAN REMEMBER, AS THIS WAS IN XXXX, FOR A PERIOD OF XXXX DAYS.",
ARTBQW, Jackfruit Hospital,18-49,Man or male,Good,XXXX XXXX IN XXXXX HOSPITAL WAS NOT AN ENJOYABLE EXPERIENCE. HOWEVER I DID RECEIVE ADEQUATE MEDICAL ATTENTION.,THE QUALITY OF NURSES DIFFERED GREATLY. SOME WERE FANTASTIC AND COMPETANT AND OTHER I BELIEVE SHOULD NOT BE IN THAT PROFFESION. SOME WERE COMPASSIONATE WHILST OTHERS COULDNT CARE LESS AND STRUGGLED TO EVEN PUT A CANULAR IN.
ARTBQW, Raspberries Hospital,50+,Woman or female,Good,I GOT A ROOM BY MESELF.,"MAKE SURE ALL PATIENTS DO A BOWL MOTION BEFORE THEY LEAVE HOSPITAL. EG. THE DOCTOR SAID, ""YOU MUST DO A BOWL MOTION BEFORE LEAVING HOSPITAL"", BUT THE DISCHARGE NURSE GAVE ME MEDICATION TO DO A BOWL MOTION AT HOME WHICH IT DIDN'T WORK. SO I HAD TO GO TO THE EMEGENCY DEPARTMENT XXXX DAYS LATER AND WAS IN GREAT PAIN."
ASRTGE, Pineapple Hospital,50+,Man or male,Poor,GETTING OUT OF HOSPITAL,ASK WHAT IS THE PAIN LIKE. AND NO ITS NOT A HEART ATTACK IM HAVING. GET THE I PATIENT COMFORTABLE
MZNBSD, Blackberries Hospital,50+,Woman or female,Very good,SPEED OF OPERATION,CANNOT THINK OF ANYTHING
KHZJDF, Banana Hospital,50+,Man or male,Very good,CARING COMPASSIONATE  STAFF,NOTHING
CVBHMI, Bean sprouts Hospital,50+,Man or male,Very good,STAFF WERE VERY HELPFUL,NA
QTYEWR, Rambutan Hospital,50+,Woman or female,Very good,THEY WERE VERY CARING,THE FOOD
OIUWEY, Chilli pepper Hospital,18-49,Man or male,Very good,ALL OF IT,NONE OF IT
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,HOSPITAL STAFF AND NURSES VERY GOOD,ALL GOOD THANKS.
KHZJDF, Yam Hospital,50+,Woman or female,Good,NURSES IN EMERGENCY DEPARTMENT WAS EXCELLENT. DOCTOR SEEMED DISTRACTED.,HOSPITAL NEEDS TO HAVE A VARIETY OF  FOOD ON STAND BY FOR PEOPLE WITH ALLERGIES.  SUCH AS PEOPLE WITH GLUTEN FREE INTOLERANCE.
ARTBQW, Cassava Hospital,50+,Woman or female,Very good,PHYSIO,IT'S A VERY OLD HOSPITAL AND ALL THE STAFF MANAGED VERY WELL WITH THE CIRCUMSTANCES THAT THEY HAVE FOUND THEMSELVES WORKING IN.
MZNBSD, Grapefruit Hospital,50+,Woman or female,Very good,ALL STAFF ACROSS ALL DISCIPLINES WERE VERY PROFESSIONAL AND HAD A HAPPY DISPOSITION. NOTHING WAS TOO MUCH TROUBLE AND IT WAS OBVIOUS THEY ENJOYED WORKING AT XXXX HOSPITAL. I HAVE WORKED IN HEALTHCARE MY ENTIRE CAREER AND HAVE NOT WITNESSED SUCH ENGAGING STAFF TO THIS EXTENT ACROSS ALL DISCIPLINES. WELL DONE.,
QERYUI, Durian Hospital,50+,Man or male,Very good,ONCE TRIAGED THE ATTENTION & RESPONSE TO MY CONDITION WAS PROMPT,WAITING TO BE TRIAGED. THERE WAS NO URGENCY ON PRIORITISING TRIAGE
QTYEWR, Rambutan Hospital,50+,Man or male,Very good,THEY SAVED MY LIFE.,NOT ONE THING.
RTUITO, Peach Hospital,50+,Man or male,Very good,EVERYONE WAS NICE AND KIND AND WAS ALSO VERY CARING.,NOTHING REALLY BUT ENGLISH WAS DIFFICULT AS IT'S NOT MY MAIN LANGUAGE.
KHZJDF, Pomegranate Hospital,50+,Man or male,Very good,STAFF AND FOOD,NIL
QWRET, Orange Hospital,50+,Woman or female,Very good,I WOULD LIKE TO THANKS EVERYONE WORKING IN HOSPITAL FOR THEIR CARE,I WOULD LIKE TO THANKS EVERYONE WORKING IN HOSPITAL FOR THEIR CARE
QWRET, Bamboo shoots Hospital,50+,Man or male,Very good,I WOULD LIKE TO THANK ALL THE HEALTH. PROFESSIONALS FOR HANDLING MY CASE. SPECIAL THANKS TO DR XXXX XXXX UROLOGICAL SURGEON AND HIS/HER COLLEAGUES. EVERY UNIT DEPARTMENT IN THE HOSPITAL WORK AS A TEAM TO PROVIDE A GOOD SUPPORT & CARING FOR THE PATIENTS.,I WOULD LIKE THE HOSPITAL TO TAKE IN CONSIDERATION FOR THE LOW INCOME AND ESPECIALLY THE XXXX PATIENTS FOR THE WAITING LIST IN *** TO THESE HAVING MEDICAL INSURANCE WHICH CONSIDER A PREFERABLE FOR EARLY ADMISSION
OPIUSD, Blueberries Hospital,18-49,Woman or female,Very good,BEING LOOKED AFTER MY DOCTOR AND NURSE FOLLOWING OPERATION - THEY ARE A CREDIT TO YOUR HOSPITAL,NOTHING
BNAVSE, Melon Hospital,50+,Woman or female,Very good,"MY ACCOMMODATION WAS 1ST CLASS, ADJOINING BATHROOM TO MYSELF. LARGE WINDOW CLOSE TO BED, I COULD SEE THE TRAFFIC AND THE CHILDREN GOING INTO SCHOOL.",I HAVE NO PROBLEMS WITH THE CARE I RECEIVED. THE NOISE IN THE AREA WAS A BIT MUCH AT TIMES.
RTUITO, Taro Hospital,50+,Man or male,Very good,THE MEALS. TEA & COFFEE BISCUITS. LISTENING TO THE STAFF CHANGING OVER SHIFT. VERY FUNNY TO LISTEN TO AT TIMES. ALL GOOD. THANKS,ALL THE CARE WAS VERY GOOD. THANKS. DUE TO NO PLANNING IN THE 1980'S A ROAD FROM XXXX HOSPITAL. AS A XXXX I AM THAT IS A GOOD ACCESS TO XXXX HOSPITAL. DUE TO NO PLANNING A LOT OF HOUSES WILL GET BULLDOZED FOR THIS TO HAPPEN. THANKS TAKE CARE XXXX XXXX
KHZJDF, Lychee Hospital,50+,Woman or female,Good,MEALS.,
BNAVSE, Melon Hospital,18-49,Woman or female,Neither good nor poor,PAINKILLERS - FOR EASING THE PAIN,"ALL THE DOCS NEED TO COMMUNICATE TOGETHER IF DIFFERENT DEPARTMENTS ARE SENT TO EXAMINE A PATIENT, WHICH WAS THE CASE WITH ME."
VASRTY, Fig Hospital,50+,Woman or female,Good,MEETING DR XXXX,CLEANING WOULD GREATLY IMPROVE THE HOSPITAL
ARTBQW, Zucchini Hospital,50+,Man or male,Very good,THERE WAS NO BEST PART OF MY CARE UNTIL I WAS GIVEN MORPHINE TO COPE WITH THE AGONY I WENT THROUGH WITH XXXX - XXXX THANKS TO ASTRA ZENECA VACCINE. DR XXXX XXXX TOOK OVER MY CARE AND I THINK BEGAN TO IMPROVE. THE NURSES GAVE ME EVERY CARE I NEEDED UP TO WHEN I WENT TO REHAB AT XXXX. ALL THIS WAS HAPPENING WHILST MY HUSBAND/WIFE WAS DYING!,I WILL NOT CRITICIZE THE NURSING STAFF OR DRS. THESE PEOPLE WORK SHIFTS AND BEING HUMAN THEY - LIKE ME HAVE GOOD AND BAD DAYS WHICH AFFECT THEIR APPROACH TO EACH PATIENT. I WOULD HAVE BEEN A DIFFICULT PATIENT TO CARE FOR GIVEN MY PAIN AND NEEDING MORE CARE THEN OTHER PATIENTS. MORE STAFF ON WEEKENDS WOULD LESSEN THE STRESS FOR BOTH NURSES AND PATIENTS
QWRET, Mango Hospital,50+,Woman or female,Very good,"THE DOCTORS AND NURSES, AND ALL ITHER STAFF WERE AMAZING WHO HELPED ME.","NOTHING, THE CARE WAS GREAT."
